id,documento,nombre,apellido,telefono,correo,ciudad,fechaRegistro,activo
1,32828998,Ana,Gomez,3513321526,ana.gomez97@gmail.com,Medellin,2023-10-28,True
2,57511109,Maria,Rodriguez,3624316827,maria.rodriguez54@gmail.com,Cartagena,2020-04-28,True
3,75960226,Jorge,Perez,3960572045,jorge.perez4@gmail.com,Cartagena,2020-03-12,True
4,13241471,Ana,Gomez,3242317010,ana.gomez53@gmail.com,Bogota,2023-06-19,True
5,67310144,Luisa,Hernandez,3799556763,luisa.hernandez34@gmail.com,Cali,2024-06-17,True
6,30304870,Sofia,Perez,3981642804,sofia.perez48@gmail.com,Cartagena,2025-04-25,True
7,64777184,Luisa,Perez,3288803985,luisa.perez65@gmail.com,Cali,2020-03-24,True
8,96044248,Maria,Martinez,3353606495,maria.martinez29@gmail.com,Cali,2023-12-25,True
9,88520368,Pedro,Perez,3196996121,pedro.perez13@gmail.com,Barranquilla,2023-06-04,True
10,10514685,Jorge,Rodriguez,3590140813,jorge.rodriguez52@gmail.com,Cartagena,2024-07-14,True
11,94441430,Pedro,Gomez,3352242908,pedro.gomez42@gmail.com,Cartagena,2021-11-10,True
12,61478393,Carlos,Gomez,3131651047,carlos.gomez33@gmail.com,Bogota,2022-09-20,True
13,91284455,Carlos,Gomez,3441767617,carlos.gomez17@gmail.com,Cartagena,2020-02-06,True
14,74747279,Ana,Gomez,3599010211,ana.gomez18@gmail.com,Barranquilla,2021-10-15,True
15,33884158,Luisa,Hernandez,3446659234,luisa.hernandez78@gmail.com,Bogota,2021-10-08,True
16,72597914,Juan,Martinez,3560643615,juan.martinez47@gmail.com,Barranquilla,2020-03-07,True
17,78987540,Carlos,Rodriguez,3572140250,carlos.rodriguez9@gmail.com,Barranquilla,2023-09-21,True
18,72254952,Jorge,Rodriguez,3188851966,jorge.rodriguez75@gmail.com,Medellin,2022-06-07,True
19,14907512,Pedro,Hernandez,3199569565,pedro.hernandez61@gmail.com,Bogota,2024-03-20,True
20,74319302,Sofia,Martinez,3239505637,sofia.martinez78@gmail.com,Medellin,2022-10-27,True
21,24502691,Juan,Perez,3449332438,juan.perez56@gmail.com,Medellin,2023-11-27,True
22,55808134,Sofia,Martinez,3977567992,sofia.martinez64@gmail.com,Cali,2025-02-25,True
23,45078963,Pedro,Perez,3965514521,pedro.perez84@gmail.com,Bogota,2020-12-15,True
24,35075266,Juan,Hernandez,3283143097,juan.hernandez77@gmail.com,Cali,2023-02-15,True
25,48931933,Carlos,Lopez,3700382828,carlos.lopez82@gmail.com,Medellin,2022-08-22,True
26,75667274,Maria,Lopez,3870996173,maria.lopez31@gmail.com,Cartagena,2022-01-09,True
27,10416863,Carlos,Martinez,3490927243,carlos.martinez56@gmail.com,Bogota,2020-06-02,True
28,89538520,Jorge,Lopez,3567824319,jorge.lopez53@gmail.com,Cali,2023-06-29,True
29,50915876,Sofia,Hernandez,3831901451,sofia.hernandez74@gmail.com,Bogota,2021-07-27,True
30,68847230,Luisa,Rodriguez,3533048857,luisa.rodriguez56@gmail.com,Cali,2025-03-04,True
31,84443064,Maria,Lopez,3689544157,maria.lopez15@gmail.com,Barranquilla,2020-07-22,True
32,31071019,Ana,Hernandez,3586708696,ana.hernandez3@gmail.com,Cali,2021-05-07,True
33,78923309,Sofia,Lopez,3619959303,sofia.lopez85@gmail.com,Barranquilla,2021-03-26,True
34,82412354,Jorge,Gomez,3840439800,jorge.gomez94@gmail.com,Medellin,2020-05-11,True
35,79229135,Pedro,Gomez,3711439616,pedro.gomez34@gmail.com,Medellin,2024-11-18,True
36,69818473,Pedro,Gomez,3891686136,pedro.gomez36@gmail.com,Barranquilla,2023-05-05,True
37,30843759,Maria,Martinez,3765053422,maria.martinez80@gmail.com,Cartagena,2024-04-06,True
38,65581343,Jorge,Lopez,3159934518,jorge.lopez76@gmail.com,Medellin,2023-07-01,True
39,29697545,Ana,Hernandez,3316266481,ana.hernandez91@gmail.com,Cali,2021-03-19,True
40,68703423,Luisa,Lopez,3963897602,luisa.lopez90@gmail.com,Barranquilla,2020-11-18,True
41,77695851,Carlos,Perez,3441807278,carlos.perez73@gmail.com,Bogota,2021-09-17,True
42,20060771,Juan,Hernandez,3884179069,juan.hernandez2@gmail.com,Barranquilla,2023-11-18,True
43,53736534,Sofia,Rodriguez,3385384448,sofia.rodriguez87@gmail.com,Bogota,2021-04-04,True
44,86873989,Sofia,Gomez,3439287467,sofia.gomez23@gmail.com,Cali,2020-05-25,True
45,29876842,Jorge,Hernandez,3780687028,jorge.hernandez9@gmail.com,Barranquilla,2025-02-15,True
46,41893329,Sofia,Martinez,3340711101,sofia.martinez86@gmail.com,Barranquilla,2024-05-18,True
47,42488121,Carlos,Lopez,3560583022,carlos.lopez57@gmail.com,Bogota,2023-11-22,True
48,14639112,Sofia,Martinez,3225605186,sofia.martinez84@gmail.com,Barranquilla,2024-08-03,True
49,41192318,Maria,Perez,3991686706,maria.perez20@gmail.com,Bogota,2020-01-19,True
50,19860530,Carlos,Perez,3375882070,carlos.perez30@gmail.com,Barranquilla,2024-07-05,True
51,48711248,Pedro,Gomez,3339769980,pedro.gomez35@gmail.com,Barranquilla,2024-07-27,True
52,54283172,Carlos,Perez,3129149389,carlos.perez82@gmail.com,Medellin,2024-10-17,True
53,72010552,Luisa,Lopez,3970599726,luisa.lopez45@gmail.com,Cali,2022-10-24,True
54,60167417,Jorge,Gomez,3885471195,jorge.gomez70@gmail.com,Cartagena,2022-08-21,True
55,45710020,Ana,Perez,3718335626,ana.perez74@gmail.com,Bogota,2023-03-27,True
56,20187908,Sofia,Martinez,3887503177,sofia.martinez20@gmail.com,Barranquilla,2022-11-24,True
57,16988661,Jorge,Perez,3991415121,jorge.perez36@gmail.com,Medellin,2022-04-19,True
58,16739939,Maria,Rodriguez,3864313932,maria.rodriguez77@gmail.com,Barranquilla,2024-06-10,True
59,22488343,Maria,Martinez,3964928030,maria.martinez20@gmail.com,Cali,2022-08-20,True
60,43900126,Jorge,Lopez,3446068655,jorge.lopez26@gmail.com,Cartagena,2025-04-29,True
61,24805733,Sofia,Gomez,3249391097,sofia.gomez52@gmail.com,Cartagena,2024-03-23,True
62,94476450,Pedro,Martinez,3231256871,pedro.martinez96@gmail.com,Medellin,2025-05-31,True
63,60665578,Luisa,Martinez,3583088685,luisa.martinez80@gmail.com,Cartagena,2023-05-21,True
64,56810253,Pedro,Perez,3731504042,pedro.perez5@gmail.com,Medellin,2020-12-17,True
65,25953316,Maria,Perez,3180270373,maria.perez21@gmail.com,Cartagena,2021-06-03,True
